,Percentage
BENIGN,80.30036637024273
DoS Hulk,8.162980531966342
PortScan,5.614427024989553
DDoS,4.522734843820156
DoS GoldenEye,0.3636147824087174
FTP-Patator,0.28042107672791206
SSH-Patator,0.20831986513788078
DoS slowloris,0.20475189729339613
DoS Slowhttptest,0.19425995224575313
Bot,0.0694517305173942
Web Attack � Brute Force,0.053236906352855065
Web Attack � XSS,0.023032822124791973
Infiltration,0.0012717509148658145
Web Attack � Sql Injection,0.0007418547003383918
Heartbleed,0.00038859055732010995
